"slidemap","matrix","x","y","positive_tumor_cells","staining_intensity","spot_quality","sample_predect","abcode","pic","positive_tumor_cells_new"
"pko.hbn.1a.59",36,16,4,"70-100%","Strong (+++)","null","WP1_37.TPKo",59,"16_36_16_4_764.jpg","70-100%"
"pko.hbn.1a.59",36,16,6,"40-69%","Weak (+)","null","WP1_56.TPKo",59,"16_36_16_6_723.jpg","40-69%"
"pko.hbn.1a.59",36,16,8,"40-69%","Weak (+)","null","WP1_66.TPKo",59,"16_36_16_8_709.jpg","40-69%"
"pko.hbn.1a.59",36,17,3,"70-100%","Strong (+++)","null","WP1_28.TPKo",59,"16_36_17_3_783.jpg","70-100%"
"pko.hbn.1a.59",36,17,4,"70-100%","Moderate (++)","null","WP1_38.TPKo",59,"16_36_17_4_762.jpg","70-100%"
"pko.hbn.1a.59",36,17,5,"70-100%","Moderate (++)","null","WP1_47.TPKo",59,"16_36_17_5_745.jpg","70-100%"
"pko.hbn.1a.59",36,17,6,"40-69%","Moderate (++)","null","WP1_57.TPKo",59,"16_36_17_6_729.jpg","40-69%"
"pko.hbn.1a.59",36,18,1,"70-100%","Moderate (++)","null","WP1_9.TPKo",59,"16_36_18_1_819.jpg","70-100%"
"pko.hbn.1a.59",36,18,10,"70-100%","Moderate (++)","null","WP1_86.TPKo",59,"16_36_18_10_677.jpg","70-100%"
"pko.hbn.1a.59",36,18,2,"70-100%","Strong (+++)","null","WP1_19.TPKo",59,"16_36_18_2_804.jpg","70-100%"
"pko.hbn.1a.59",36,18,3,"70-100%","Moderate (++)","null","WP1_29.TPKo",59,"16_36_18_3_785.jpg","70-100%"
"pko.hbn.1a.59",36,18,4,"70-100%","Moderate (++)","null","WP1_38.TPKo",59,"16_36_18_4_763.jpg","70-100%"
"pko.hbn.1a.59",36,18,5,"70-100%","Moderate (++)","null","WP1_48.TPKo",59,"16_36_18_5_746.jpg","70-100%"
"pko.hbn.1a.59",36,18,6,"70-100%","Moderate (++)","null","WP1_57.TPKo",59,"16_36_18_6_727.jpg","70-100%"
"pko.hbn.1a.59",36,18,9,"1-9%","Weak (+)","null","WP1_76.TPKo",59,"16_36_18_9_694.jpg","5-15%"
"pko.hbn.1a.59",36,19,1,"70-100%","Strong (+++)","null","WP1_9.TPKo",59,"16_36_19_1_821.jpg","70-100%"
"pko.hbn.1a.59",36,19,10,"70-100%","Moderate (++)","null","WP1_86.TPKo",59,"16_36_19_10_679.jpg","70-100%"
"pko.hbn.1a.59",36,19,2,"70-100%","Strong (+++)","null","WP1_19.TPKo",59,"16_36_19_2_803.jpg","70-100%"
"pko.hbn.1a.59",36,19,3,"70-100%","Moderate (++)","null","WP1_29.TPKo",59,"16_36_19_3_784.jpg","70-100%"
"pko.hbn.1a.59",36,19,6,"70-100%","Strong (+++)","null","WP1_58.TPKo",59,"16_36_19_6_728.jpg","70-100%"
"pko.hbn.1a.59",36,19,9,"1-9%","Weak (+)","null","WP1_77.TPKo",59,"16_36_19_9_693.jpg","5-15%"
"pko.hbn.1a.59",36,2,1,"70-100%","Moderate (++)","null","WP1_1.TPKo",59,"16_36_2_1_806.jpg","70-100%"
"pko.hbn.1a.59",36,2,11,"70-100%","Weak (+)","null","WP1_88.TPKo",59,"16_36_2_11_647.jpg","70-100%"
"pko.hbn.1a.59",36,2,4,"70-100%","Moderate (++)","null","WP1_31.TPKo",59,"16_36_2_4_748.jpg","70-100%"
"pko.hbn.1a.59",36,2,5,"70-100%","Moderate (++)","null","WP1_40.TPKo",59,"16_36_2_5_732.jpg","70-100%"
"pko.hbn.1a.59",36,2,6,"70-100%","Strong (+++)","null","WP1_50.TPKo",59,"16_36_2_6_713.jpg","70-100%"
"pko.hbn.1a.59",36,20,10,"70-100%","Strong (+++)","null","WP1_87.TPKo",59,"16_36_20_10_680.jpg","70-100%"
"pko.hbn.1a.59",36,20,12,"70-100%","Strong (+++)","null","WP1_106.TPKo",59,"16_36_20_12_643.jpg","70-100%"
"pko.hbn.1a.59",36,20,2,"70-100%","Strong (+++)","null","WP1_20.TPKo",59,"16_36_20_2_798.jpg","70-100%"
"pko.hbn.1a.59",36,20,3,"70-100%","Moderate (++)","null","WP1_30.TPKo",59,"16_36_20_3_778.jpg","70-100%"
"pko.hbn.1a.59",36,20,5,"70-100%","Moderate (++)","null","WP1_49.TPKo",59,"16_36_20_5_747.jpg","70-100%"
"pko.hbn.1a.59",36,20,8,"10-39%","Moderate (++)","null","WP1_68.TPKo",59,"16_36_20_8_710.jpg","16-39%"
"pko.hbn.1a.59",36,21,1,"70-100%","Strong (+++)","null","WP1_10.TPKo",59,"16_36_21_1_816.jpg","70-100%"
"pko.hbn.1a.59",36,21,2,"70-100%","Strong (+++)","null","WP1_20.TPKo",59,"16_36_21_2_800.jpg","70-100%"
"pko.hbn.1a.59",36,22,10,"0%","Neg (-)","null","WP1_119.TPKo",59,"16_36_22_10_681.jpg","0%"
"pko.hbn.1a.59",36,22,11,"0%","Neg (-)","null","WP1_120.TPKo",59,"16_36_22_11_662.jpg","0%"
"pko.hbn.1a.59",36,22,12,"0%","Neg (-)","Not representative","WP1_121.TPKo",59,"16_36_22_12_644.jpg","0%"
"pko.hbn.1a.59",36,22,13,"10-39%","Weak (+)","null","WP1_123.TPKo",59,"16_36_22_13_626.jpg","16-39%"
"pko.hbn.1a.59",36,22,8,">0% and <1%","Weak (+)","null","WP1_116.TPKo",59,"16_36_22_8_711.jpg","0-5%"
"pko.hbn.1a.59",36,3,11,"70-100%","Weak (+)","null","WP1_88.TPKo",59,"16_36_3_11_648.jpg","70-100%"
"pko.hbn.1a.59",36,3,2,"1-9%","Moderate (++)","null","WP1_12.TPKo",59,"16_36_3_2_788.jpg","5-15%"
"pko.hbn.1a.59",36,3,3,"70-100%","Moderate (++)","null","WP1_22.TPKo",59,"16_36_3_3_768.jpg","70-100%"
"pko.hbn.1a.59",36,3,4,"70-100%","Moderate (++)","null","WP1_31.TPKo",59,"16_36_3_4_750.jpg","70-100%"
"pko.hbn.1a.59",36,3,5,"10-39%","Weak (+)","null","WP1_41.TPKo",59,"16_36_3_5_731.jpg","16-39%"
"pko.hbn.1a.59",36,3,8,"70-100%","Strong (+++)","null","WP1_60.TPKo",59,"16_36_3_8_698.jpg","70-100%"
"pko.hbn.1a.59",36,3,9,"0%","Neg (-)","null","WP1_69.TPKo",59,"16_36_3_9_684.jpg","0%"
"pko.hbn.1a.59",36,4,11,"70-100%","Strong (+++)","null","WP1_89.TPKo",59,"16_36_4_11_646.jpg","70-100%"
"pko.hbn.1a.59",36,4,12,"70-100%","Moderate (++)","null","WP1_98.TPKo",59,"16_36_4_12_629.jpg","70-100%"
"pko.hbn.1a.59",36,4,2,"70-100%","Moderate (++)","null","WP1_12.TPKo",59,"16_36_4_2_789.jpg","70-100%"
"pko.hbn.1a.59",36,4,3,"70-100%","Strong (+++)","null","WP1_22.TPKo",59,"16_36_4_3_770.jpg","70-100%"
"pko.hbn.1a.59",36,4,4,">0% and <1%","Weak (+)","null","WP1_32.TPKo",59,"16_36_4_4_751.jpg","0-5%"
"pko.hbn.1a.59",36,4,6,"0%","Neg (-)","null","WP1_51.TPKo",59,"16_36_4_6_715.jpg","0%"
"pko.hbn.1a.59",36,4,8,"70-100%","Strong (+++)","null","WP1_60.TPKo",59,"16_36_4_8_699.jpg","70-100%"
"pko.hbn.1a.59",36,5,1,"70-100%","Moderate (++)","null","WP1_3.TPKo",59,"16_36_5_1_809.jpg","70-100%"
"pko.hbn.1a.59",36,5,10,"40-69%","Moderate (++)","null","WP1_80.TPKo",59,"16_36_5_10_668.jpg","40-69%"
"pko.hbn.1a.59",36,5,11,"70-100%","Strong (+++)","null","WP1_89.TPKo",59,"16_36_5_11_649.jpg","70-100%"
"pko.hbn.1a.59",36,5,2,"70-100%","Strong (+++)","null","WP1_13.TPKo",59,"16_36_5_2_790.jpg","70-100%"
"pko.hbn.1a.59",36,5,4,"1-9%","Weak (+)","null","WP1_32.TPKo",59,"16_36_5_4_752.jpg","5-15%"
"pko.hbn.1a.59",36,5,5,"40-69%","Weak (+)","null","WP1_42.TPKo",59,"16_36_5_5_734.jpg","40-69%"
"pko.hbn.1a.59",36,5,6,"0%","Neg (-)","null","WP1_51.TPKo",59,"16_36_5_6_716.jpg","0%"
"pko.hbn.1a.59",36,6,10,"70-100%","Moderate (++)","null","WP1_80.TPKo",59,"16_36_6_10_828.jpg","70-100%"
"pko.hbn.1a.59",36,6,11,"70-100%","Moderate (++)","null","WP1_90.TPKo",59,"16_36_6_11_650.jpg","70-100%"
"pko.hbn.1a.59",36,6,13,"40-69%","Strong (+++)","null","WP1_109.TPKo",59,"16_36_6_13_610.jpg","40-69%"
"pko.hbn.1a.59",36,6,2,"70-100%","Strong (+++)","null","WP1_13.TPKo",59,"16_36_6_2_791.jpg","70-100%"
"pko.hbn.1a.59",36,6,4,"70-100%","Moderate (++)","null","WP1_33.TPKo",59,"16_36_6_4_753.jpg","70-100%"
"pko.hbn.1a.59",36,6,5,"40-69%","Weak (+)","null","WP1_42.TPKo",59,"16_36_6_5_735.jpg","40-69%"
"pko.hbn.1a.59",36,6,6,"70-100%","Moderate (++)","null","WP1_52.TPKo",59,"16_36_6_6_717.jpg","70-100%"
"pko.hbn.1a.59",36,6,9,"10-39%","Moderate (++)","null","WP1_71.TPKo",59,"16_36_6_9_827.jpg","16-39%"
"pko.hbn.1a.59",36,7,11,"70-100%","Moderate (++)","null","WP1_90.TPKo",59,"16_36_7_11_651.jpg","70-100%"
"pko.hbn.1a.59",36,7,12,"70-100%","Moderate (++)","null","WP1_100.TPKo",59,"16_36_7_12_631.jpg","70-100%"
"pko.hbn.1a.59",36,7,13,"70-100%","Strong (+++)","null","WP1_109.TPKo",59,"16_36_7_13_611.jpg","70-100%"
"pko.hbn.1a.59",36,7,2,"70-100%","Strong (+++)","null","WP1_14.TPKo",59,"16_36_7_2_795.jpg","70-100%"
"pko.hbn.1a.59",36,7,3,"70-100%","Strong (+++)","null","WP1_24.TPKo",59,"16_36_7_3_773.jpg","70-100%"
"pko.hbn.1a.59",36,7,4,"70-100%","Moderate (++)","null","WP1_33.TPKo",59,"16_36_7_4_754.jpg","70-100%"
"pko.hbn.1a.59",36,7,5,"0%","Neg (-)","null","WP1_43.TPKo",59,"16_36_7_5_736.jpg","0%"
"pko.hbn.1a.59",36,7,6,"70-100%","Moderate (++)","null","WP1_52.TPKo",59,"16_36_7_6_718.jpg","70-100%"
"pko.hbn.1a.59",36,7,9,"10-39%","Moderate (++)","null","WP1_71.TPKo",59,"16_36_7_9_686.jpg","16-39%"
"pko.hbn.1a.59",36,8,11,"70-100%","Weak (+)","null","WP1_91.TPKo",59,"16_36_8_11_653.jpg","70-100%"
"pko.hbn.1a.59",36,8,12,"70-100%","Moderate (++)","null","WP1_100.TPKo",59,"16_36_8_12_634.jpg","70-100%"
"pko.hbn.1a.59",36,8,13,"70-100%","Moderate (++)","null","WP1_110.TPKo",59,"16_36_8_13_612.jpg","70-100%"
"pko.hbn.1a.59",36,8,2,"70-100%","Strong (+++)","null","WP1_14.TPKo",59,"16_36_8_2_792.jpg","70-100%"
"pko.hbn.1a.59",36,8,3,"70-100%","Strong (+++)","null","WP1_24.TPKo",59,"16_36_8_3_774.jpg","70-100%"
"pko.hbn.1a.59",36,8,5,"0%","Neg (-)","null","WP1_43.TPKo",59,"16_36_8_5_737.jpg","0%"
"pko.hbn.1a.59",36,9,1,"70-100%","Moderate (++)","null","WP1_5.TPKo",59,"16_36_9_1_811.jpg","70-100%"
"pko.hbn.1a.59",36,9,10,"1-9%","Moderate (++)","null","WP1_82.TPKo",59,"16_36_9_10_671.jpg","5-15%"
"pko.hbn.1a.59",36,9,11,"70-100%","Weak (+)","null","WP1_91.TPKo",59,"16_36_9_11_654.jpg","70-100%"
"pko.hbn.1a.59",36,9,12,"70-100%","Strong (+++)","null","WP1_101.TPKo",59,"16_36_9_12_632.jpg","70-100%"
"pko.hbn.1a.59",36,9,13,"70-100%","Moderate (++)","null","WP1_110.TPKo",59,"16_36_9_13_613.jpg","70-100%"
"pko.hbn.1a.59",36,9,2,"40-69%","Weak (+)","null","WP1_15.TPKo",59,"16_36_9_2_793.jpg","40-69%"
"pko.hbn.1a.59",36,9,3,"40-69%","Moderate (++)","null","WP1_25.TPKo",59,"16_36_9_3_776.jpg","40-69%"
"pko.hbn.1a.59",36,9,5,"70-100%","Moderate (++)","null","WP1_44.TPKo",59,"16_36_9_5_742.jpg","70-100%"
"pko.hbn.1a.59",36,9,8,"70-100%","Moderate (++)","null","WP1_63.TPKo",59,"16_36_9_8_703.jpg","70-100%"
