"slidemap","matrix","x","y","positive_tumor_cells","staining_intensity","spot_quality","sample_predect","abcode","pic","positive_tumor_cells_new"
"pko.hbn.1a.40",36,18,10,">0% and <5%","Strong (+++)","null","WP1_86.TPKo",40,"75_36_18_10_3501.jpg","0-5%"
"pko.hbn.1a.40",36,18,11,">30%","Strong (+++)","null","WP1_95.TPKo",40,"75_36_18_11_3492.jpg","40-69%"
"pko.hbn.1a.40",36,18,12,">30%","Strong (+++)","null","WP1_105.TPKo",40,"75_36_18_12_3474.jpg","40-69%"
"pko.hbn.1a.40",36,18,13,"0%","Neg (-)","null","WP1_114.TPKo",40,"75_36_18_13_3452.jpg","0%"
"pko.hbn.1a.40",36,18,2,">0% and <5%","Moderate (++)","null","WP1_19.TPKo",40,"75_36_18_2_3629.jpg","0-5%"
"pko.hbn.1a.40",36,18,3,"16-30%","Strong (+++)","null","WP1_29.TPKo",40,"75_36_18_3_3611.jpg","16-39%"
"pko.hbn.1a.40",36,18,4,"16-30%","Strong (+++)","null","WP1_38.TPKo",40,"75_36_18_4_3589.jpg","16-39%"
"pko.hbn.1a.40",36,18,6,"0%","Neg (-)","null","WP1_57.TPKo",40,"75_36_18_6_3554.jpg","0%"
"pko.hbn.1a.40",36,18,9,"5-15%","Strong (+++)","null","WP1_76.TPKo",40,"75_36_18_9_3522.jpg","5-15%"
"pko.hbn.1a.40",36,19,1,"0%","Neg (-)","null","WP1_9.TPKo",40,"75_36_19_1_3646.jpg","0%"
"pko.hbn.1a.40",36,19,10,">0% and <5%","Strong (+++)","null","WP1_86.TPKo",40,"75_36_19_10_3509.jpg","0-5%"
"pko.hbn.1a.40",36,19,4,">30%","Strong (+++)","null","WP1_39.TPKo",40,"75_36_19_4_3682.jpg","40-69%"
"pko.hbn.1a.40",36,19,6,">0% and <5%","Weak (+)","null","WP1_58.TPKo",40,"75_36_19_6_3555.jpg","0-5%"
"pko.hbn.1a.40",36,19,9,"16-30%","Moderate (++)","null","WP1_77.TPKo",40,"75_36_19_9_3523.jpg","16-39%"
"pko.hbn.1a.40",36,2,1,"16-30%","Moderate (++)","null","WP1_1.TPKo",40,"75_36_2_1_3631.jpg","16-39%"
"pko.hbn.1a.40",36,2,11,">0% and <5%","Strong (+++)","null","WP1_88.TPKo",40,"75_36_2_11_3477.jpg","0-5%"
"pko.hbn.1a.40",36,2,12,"5-15%","Moderate (++)","null","WP1_97.TPKo",40,"75_36_2_12_3459.jpg","5-15%"
"pko.hbn.1a.40",36,2,13,"0%","Neg (-)","null","WP1_107.TPKo",40,"75_36_2_13_3441.jpg","0%"
"pko.hbn.1a.40",36,2,2,"5-15%","Moderate (++)","null","WP1_11.TPKo",40,"75_36_2_2_3613.jpg","5-15%"
"pko.hbn.1a.40",36,2,4,"5-15%","Moderate (++)","null","WP1_31.TPKo",40,"75_36_2_4_3664.jpg","5-15%"
"pko.hbn.1a.40",36,2,5,">0% and <5%","Strong (+++)","null","WP1_40.TPKo",40,"75_36_2_5_3559.jpg","0-5%"
"pko.hbn.1a.40",36,2,6,"16-30%","Strong (+++)","null","WP1_50.TPKo",40,"75_36_2_6_3542.jpg","16-39%"
"pko.hbn.1a.40",36,2,8,"5-15%","Strong (+++)","null","WP1_59.TPKo",40,"75_36_2_8_3525.jpg","5-15%"
"pko.hbn.1a.40",36,20,1,"16-30%","Strong (+++)","null","WP1_10.TPKo",40,"75_36_20_1_3681.jpg","16-39%"
"pko.hbn.1a.40",36,20,10,"16-30%","Strong (+++)","null","WP1_87.TPKo",40,"75_36_20_10_3510.jpg","16-39%"
"pko.hbn.1a.40",36,20,12,"16-30%","Strong (+++)","null","WP1_106.TPKo",40,"75_36_20_12_3475.jpg","16-39%"
"pko.hbn.1a.40",36,20,2,"0%","Neg (-)","null","WP1_20.TPKo",40,"75_36_20_2_3680.jpg","0%"
"pko.hbn.1a.40",36,20,4,">30%","Moderate (++)","null","WP1_39.TPKo",40,"75_36_20_4_3592.jpg","40-69%"
"pko.hbn.1a.40",36,20,5,">0% and <5%","Strong (+++)","null","WP1_49.TPKo",40,"75_36_20_5_3574.jpg","0-5%"
"pko.hbn.1a.40",36,20,8,"0%","Neg (-)","Not representative","WP1_68.TPKo",40,"75_36_20_8_3539.jpg","0%"
"pko.hbn.1a.40",36,21,1,"5-15%","Moderate (++)","null","WP1_10.TPKo",40,"75_36_21_1_3640.jpg","5-15%"
"pko.hbn.1a.40",36,21,2,">0% and <5%","Strong (+++)","null","WP1_20.TPKo",40,"75_36_21_2_3623.jpg","0-5%"
"pko.hbn.1a.40",36,22,10,">0% and <5%","Moderate (++)","null","WP1_119.TPKo",40,"75_36_22_10_3511.jpg","0-5%"
"pko.hbn.1a.40",36,22,11,">0% and <5%","Moderate (++)","null","WP1_120.TPKo",40,"75_36_22_11_3493.jpg","0-5%"
"pko.hbn.1a.40",36,22,8,"5-15%","Strong (+++)","null","WP1_116.TPKo",40,"75_36_22_8_3540.jpg","5-15%"
"pko.hbn.1a.40",36,3,10,"5-15%","Strong (+++)","null","WP1_79.TPKo",40,"75_36_3_10_3494.jpg","5-15%"
"pko.hbn.1a.40",36,3,11,"5-15%","Strong (+++)","null","WP1_88.TPKo",40,"75_36_3_11_3478.jpg","5-15%"
"pko.hbn.1a.40",36,3,13,">0% and <5%","Strong (+++)","null","WP1_107.TPKo",40,"75_36_3_13_3436.jpg","0-5%"
"pko.hbn.1a.40",36,3,3,"16-30%","Strong (+++)","null","WP1_22.TPKo",40,"75_36_3_3_3595.jpg","16-39%"
"pko.hbn.1a.40",36,3,4,"5-15%","Moderate (++)","null","WP1_31.TPKo",40,"75_36_3_4_3576.jpg","5-15%"
